k-mer,learning_rate,lambda,train_accuracy,test_accuracy,sn,sp,mcc,auc
5-mer,0.0001,0.0007,0.5000,0.5000,0.0000,1.0000,0.0000,0.5983
5-mer,0.0001,0.005,0.6550,0.5850,0.3800,0.7900,0.1864,0.6682
5-mer,0.0001,6e-05,0.5000,0.5000,0.0000,1.0000,0.0000,0.6200
5-mer,0.0001,0.001,0.5000,0.5000,0.0000,1.0000,0.0000,0.6069
5-mer,0.0001,0.0004,0.5000,0.5000,0.0000,1.0000,0.0000,0.6108
5-mer,0.0001,8e-05,0.5000,0.5000,0.0000,1.0000,0.0000,0.5838
5-mer,0.0001,4e-05,0.5000,0.5000,0.0000,1.0000,0.0000,0.6026
5-mer,0.0001,5e-05,0.5000,0.5000,0.0000,1.0000,0.0000,0.6095
5-mer,0.0001,0.0005,0.5000,0.5000,0.0000,1.0000,0.0000,0.6225
5-mer,0.0001,7e-05,0.5000,0.5000,0.0000,1.0000,0.0000,0.6196
5-mer,0.0001,0.006,0.5000,0.4900,0.0000,0.9800,-0.1005,0.6247
5-mer,0.0001,0.009,0.8470,0.7650,0.7300,0.8000,0.5313,0.7404
5-mer,0.0001,0.007,0.6476,0.5750,0.3000,0.8500,0.1796,0.6435
5-mer,0.0001,0.0006,0.5000,0.5000,0.0000,1.0000,0.0000,0.5845
5-mer,0.0001,0.0008,0.6894,0.6100,0.4900,0.7300,0.2266,0.6763
5-mer,0.0001,3e-05,0.5000,0.5000,0.0000,1.0000,0.0000,0.6220
5-mer,0.0001,0.0002,0.5000,0.5000,0.0000,1.0000,0.0000,0.5698
5-mer,0.0001,2e-05,0.5000,0.5000,0.0000,1.0000,0.0000,0.6247
5-mer,0.0001,1e-05,0.5000,0.5000,0.0000,1.0000,0.0000,0.6271
